[13.01.2026 17:04] | Соцсеть: FB | Тип: Video | Ссылка: - | Цена перевода: $0.0025
[13.01.2026 17:04] | Соцсеть: IG | Тип: Video | Ссылка: - | Цена перевода: $0.0025
[13.01.2026 17:09] | Соцсеть: TG | Тип: Video | Ссылка: - | Цена перевода: $0.0025
[13.01.2026 17:54] | Соцсеть: FB | Тип: Video | Ссылка: - | Цена перевода: $0.0026
[13.01.2026 17:54] | Соцсеть: IG | Тип: Video | Ссылка: - | Цена перевода: $0.0026
[13.01.2026 17:59] | Соцсеть: TG | Тип: Video | Ссылка: - | Цена перевода: $0.0026
[13.01.2026 18:26] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768310756417_1c58ae585ed7419fb5d03b7282855ce7.mp4 | Цена перевода: $0.0028
[13.01.2026 18:27] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768310756417_1c58ae585ed7419fb5d03b7282855ce7.mp4 | Цена перевода: $0.0028
[13.01.2026 18:32] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768310756417_1c58ae585ed7419fb5d03b7282855ce7.mp4 | Цена перевода: $0.0028
[13.01.2026 19:03] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768312945994_f63439a675fc4d83827a69cee4f9d052.mp4 | Цена перевода: $0.0030
[13.01.2026 19:47] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768312945994_f63439a675fc4d83827a69cee4f9d052.mp4 | Цена перевода: $0.0030
[13.01.2026 20:00] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768316415839_a3b2e3fbecdd4edab34e7891e8c2c380.mp4 | Цена перевода: $0.0032
